Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.3,13309728,544,24466.4,25696.0,8640,64320,15018.4,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<__half, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
23.6,11074016,2,5537008.0,5537008.0,5528480,5545536,12060.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(T1::Params)
11.1,5225664,42,124420.6,123120.0,120800,134304,3679.1,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_interleaved_swiglu_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)8, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const long long *, const int *, int, long long, long long, int, int, onnxruntime::llm::kernels::cutlass_kernels::ActivationParams, const int *, int)"
7.6,3553023,255,13933.4,13312.0,12992,34656,3036.8,"void Generators::cuda::select_sort::GetTop1Kernel<(int)1024>(const float *, float *, int *, int, int)"
5.6,2609024,42,62119.6,62000.0,59968,64608,1180.4,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_fused_finalize_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)2, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const int *, const int *, const float *, int, long long, long long, int, int, int, int)"
4.9,2278304,14,162736.0,171712.0,127168,180672,19246.8,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
4.6,2166336,506,4281.3,4992.0,2240,10688,1399.7,"void onnxruntime::cuda::cuApplyLayerNorm<float, float, float, (bool)1>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *, int, const T1 *, const T1 *, T1 *)"
4.2,1972352,70,28176.5,28416.0,23040,35392,3183.6,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
1.6,743168,42,17694.5,17664.0,16896,19008,501.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
1.1,500192,255,1961.5,1824.0,1728,4288,429.7,"Generators::cuda::ConvertFp16ToFp32(const __half *, float *, int)"
1.0,477888,255,1874.1,1728.0,1664,3200,341.7,"Generators::cuda::CheckForEOSAndPad(int *, int, bool *, const int *, int, int, bool *)"
0.8,381824,255,1497.3,1472.0,1408,2720,180.7,"Generators::cuda::GatherCurandStatesKernel(const curandStateXORWOW *, const int *, curandStateXORWOW *, int)"
0.8,357856,255,1403.4,1216.0,1120,3040,390.8,"void Generators::cuda::FusedSamplingKernel<(int)256>(int *, const float *, const int *, int, float, float, int, curandStateXORWOW *, const int *)"
0.6,289824,338,857.5,768.0,736,1856,149.4,"void onnxruntime::cuda::_UnaryElementWise<__half, float, onnxruntime::cuda::OP_Cast<__half, float>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.6,283648,338,839.2,768.0,704,1664,124.9,"void onnxruntime::cuda::_UnaryElementWise<float, __half, onnxruntime::cuda::OP_Cast<float, __half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.6,258560,168,1539.0,1344.0,1088,4864,502.1,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, float, float, float, onnxruntime::cuda::OP_Add<float, float, float>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.5,225312,42,5364.6,5328.0,5248,5760,103.3,"void onnxruntime::contrib::cuda::SoftmaxTopKMergeKernel<__half, (int)128, (int)4>(const T1 *, float *, int *, int, int, int, bool)"
0.5,223360,255,875.9,800.0,768,2080,218.2,"Generators::cuda::AppendNextTokensToSequences(const int *, int *, int, int, int, int)"
0.5,222848,84,2653.0,2336.0,2240,3680,483.1,"void onnxruntime::contrib::cuda::ReshapeAndCache<__half, __half, onnxruntime::contrib::cuda::DerivedSlotResolver>(const T1 *, const T1 *, T2 *, T2 *, const float *, const float *, bool, bool, T3, long long, int, int, int, long long)"
0.5,212640,140,1518.9,1632.0,1248,2720,264.0,"void onnxruntime::contrib::cuda::QkNormRotaryTNH<__half>(T1 *, const T1 *, const T1 *, const T1 *, const int *, const int *, const T1 *, float, int, int, int, int, bool, int3, int3)"
0.3,163840,42,3901.0,3872.0,3776,4256,83.0,"void onnxruntime::llm::kernels::cutlass_kernels::blockExpertPrefixSumKernel<(int)512>(const int *, int *, int *, long long, long long, int)"
0.2,115296,84,1372.6,1376.0,1312,1504,37.2,"void onnxruntime::contrib::cuda::GetCumulativeSeqlensKV<(int)256>(int *, const int *, const int *, int)"
0.2,90720,42,2160.0,2144.0,1952,2464,141.6,"onnxruntime::llm::kernels::cutlass_kernels::mergeExpertPrefixSumKernel(const int *, const int *, const int *, int *, int *, int *, int)"
0.1,61120,42,1455.2,1440.0,1408,1856,70.4,"void onnxruntime::cuda::_UnaryElementWise<__half, __half, onnxruntime::contrib::cuda::OP_QuickGelu<__half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.1,56224,2,28112.0,28112.0,28000,28224,158.4,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<float, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
0.1,54368,42,1294.5,1280.0,1248,1440,38.2,"void onnxruntime::llm::kernels::cutlass_kernels::globalExpertPrefixSumKernel<(int)512>(const int *, int *, long long *, long long, long long)"
0.1,42880,42,1021.0,1024.0,960,1152,29.8,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, __half, __half, __half, onnxruntime::cuda::OP_Mul<__half, __half, __half>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.0,8704,4,2176.0,1904.0,1312,3584,1092.1,"void onnxruntime::cuda::_GatherKernel<short>(long long, long long, onnxruntime::cuda::DivMod<int>, onnxruntime::cuda::DivMod<int>, const void *, unsigned long long, const T1 *, T1 *, int)"
0.0,4032,2,2016.0,2016.0,1952,2080,90.5,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)0, (bool)1, int, int, int, onnxruntime::cuda::OP_Sub<int, int, int>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
