Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.2,3312832473,1799,1841485.5,1946880.0,699904,5699456,456215.4,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
20.6,1742014679,69904,24920.1,25728.0,8512,880160,18302.1,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<__half, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
17.1,1441537845,257,5609096.7,5587584.0,5357440,6311200,130940.5,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(T1::Params)
8.0,678470366,5397,125712.5,122336.0,118336,943968,26894.1,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_interleaved_swiglu_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)8, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const long long *, const int *, int, long long, long long, int, int, onnxruntime::llm::kernels::cutlass_kernels::ActivationParams, const int *, int)"
4.1,346344669,5397,64173.6,63040.0,59712,727872,11438.1,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_fused_finalize_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)2, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const int *, const int *, const float *, int, long long, long long, int, int, int, int)"
3.6,302100896,65021,4646.2,5088.0,2176,468288,4555.3,"void onnxruntime::cuda::cuApplyLayerNorm<float, float, float, (bool)1>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *, int, const T1 *, const T1 *, T1 *)"
3.0,256819613,8995,28551.4,27072.0,20768,3855168,42740.9,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
1.1,95502496,5397,17695.5,17440.0,15392,48544,1657.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.4,34365664,43433,791.2,736.0,640,205440,1020.4,"void onnxruntime::cuda::_UnaryElementWise<float, __half, onnxruntime::cuda::OP_Cast<float, __half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.4,34200351,43433,787.4,704.0,640,8096,282.0,"void onnxruntime::cuda::_UnaryElementWise<__half, float, onnxruntime::cuda::OP_Cast<__half, float>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.4,33338528,21588,1544.3,1120.0,992,677536,4650.7,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, float, float, float, onnxruntime::cuda::OP_Add<float, float, float>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.4,30266144,5397,5608.0,5344.0,5024,26336,1100.7,"void onnxruntime::contrib::cuda::SoftmaxTopKMergeKernel<__half, (int)128, (int)4>(const T1 *, float *, int *, int, int, int, bool)"
0.3,26799648,17990,1489.7,1472.0,1216,12480,427.8,"void onnxruntime::contrib::cuda::QkNormRotaryTNH<__half>(T1 *, const T1 *, const T1 *, const T1 *, const int *, const int *, const T1 *, float, int, int, int, int, bool, int3, int3)"
0.3,26634623,10794,2467.5,2144.0,1984,11072,687.6,"void onnxruntime::contrib::cuda::ReshapeAndCache<__half, __half, onnxruntime::contrib::cuda::DerivedSlotResolver>(const T1 *, const T1 *, T2 *, T2 *, const float *, const float *, bool, bool, T3, long long, int, int, int, long long)"
0.3,22752447,5397,4215.8,4032.0,3680,19104,913.4,"void onnxruntime::llm::kernels::cutlass_kernels::blockExpertPrefixSumKernel<(int)512>(const int *, int *, int *, long long, long long, int)"
0.2,13837824,10794,1282.0,1216.0,1088,10624,426.8,"void onnxruntime::contrib::cuda::GetCumulativeSeqlensKV<(int)256>(int *, const int *, const int *, int)"
0.1,11370144,5397,2106.8,1984.0,1760,9184,471.1,"onnxruntime::llm::kernels::cutlass_kernels::mergeExpertPrefixSumKernel(const int *, const int *, const int *, int *, int *, int *, int)"
0.1,7602176,5397,1408.6,1280.0,1152,428896,5827.5,"void onnxruntime::cuda::_UnaryElementWise<__half, __half, onnxruntime::contrib::cuda::OP_QuickGelu<__half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.1,7319040,257,28478.8,27968.0,27168,38592,1738.6,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<float, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
0.1,7025504,5397,1301.7,1280.0,1088,5312,275.1,"void onnxruntime::llm::kernels::cutlass_kernels::globalExpertPrefixSumKernel<(int)512>(const int *, int *, long long *, long long, long long)"
0.1,6083712,255,23857.7,22880.0,20704,55392,3955.8,"void Generators::cuda::flash_convergent::FlashConvergentKernel<(int)256, (int)3328, (int)4, (int)64>(const float *, float *, int *, float *, int *, int, int, int)"
0.1,5271872,5397,976.8,800.0,736,418304,5704.5,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, __half, __half, __half, onnxruntime::cuda::OP_Mul<__half, __half, __half>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.0,861024,514,1675.1,1952.0,1024,5632,654.0,"void onnxruntime::cuda::_GatherKernel<short>(long long, long long, onnxruntime::cuda::DivMod<int>, onnxruntime::cuda::DivMod<int>, const void *, unsigned long long, const T1 *, T1 *, int)"
