Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.9,5414963446,254,21318753.7,21049600.0,20540112,25311151,842293.5,cudaDeviceSynchronize
4.1,241976255,1,241976255.0,241976255.0,241976255,241976255,0.0,cudaProfilerStart
1.0,56990287,5349,10654.4,4976.0,656,369120,27620.5,cudaLaunchKernel
0.9,55431456,1277,43407.6,46480.0,1872,339872,41430.0,cudaFreeHost
0.9,50646704,265,191119.6,5696.0,512,20804800,1544677.3,cudaStreamSynchronize
0.8,44571520,255,174790.3,163472.0,145264,484128,39535.4,cudaGraphLaunch
0.3,16634560,2811,5917.7,6160.0,1232,94208,8009.7,cudaMemcpyAsync
0.1,5309968,1275,4164.7,2960.0,2400,32880,2816.5,cudaHostAlloc
0.1,4067712,1,4067712.0,4067712.0,4067712,4067712,0.0,cudaGraphInstantiate
0.0,2451136,189,12969.0,4336.0,704,265472,35451.8,cudaLaunchKernelExC
0.0,571152,5349,106.8,80.0,48,2064,78.9,cuKernelGetName
0.0,415552,1,415552.0,415552.0,415552,415552,0.0,cudaGraphDestroy
0.0,47504,2,23752.0,23752.0,19072,28432,6618.5,cudaMemGetInfo
0.0,30080,5,6016.0,4240.0,2336,15616,5437.0,cudaFree
0.0,30064,1,30064.0,30064.0,30064,30064,0.0,cudaStreamEndCapture
0.0,26000,66,393.9,304.0,176,4688,557.1,cudaStreamIsCapturing
0.0,15744,132,119.3,96.0,64,1056,94.7,cuStreamGetGreenCtx
0.0,15088,3,5029.3,5376.0,1328,8384,3540.8,cuLaunchKernel
0.0,11440,1,11440.0,11440.0,11440,11440,0.0,cudaStreamBeginCapture
0.0,3632,3,1210.7,1280.0,784,1568,396.6,cuKernelGetFunction
