Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.6,8428832665,254,33184380.6,32749048.0,30783312,45547056,1933100.8,cudaDeviceSynchronize
1.9,170787360,5094,33527.2,28792.0,1824,711008,40387.3,cudaLaunchKernel
1.7,154116719,1,154116719.0,154116719.0,154116719,154116719,0.0,cudaProfilerStart
1.3,117212415,255,459656.5,440736.0,341136,1706224,116176.2,cudaGraphLaunch
1.1,102014240,1,102014240.0,102014240.0,102014240,102014240,0.0,cudaGraphInstantiate
0.8,72210160,265,272491.2,110720.0,992,31880816,2029461.6,cudaStreamSynchronize
0.7,60482031,1277,47362.6,43184.0,4048,383872,50418.9,cudaFreeHost
0.6,52391503,2811,18638.0,10064.0,2640,429872,24792.8,cudaMemcpyAsync
0.2,17747696,1275,13919.8,8816.0,4736,407408,19886.3,cudaHostAlloc
0.2,17561280,255,68867.8,65984.0,27776,154832,16354.8,cudaLaunchCooperativeKernel
0.0,4508832,189,23856.3,22656.0,2096,218816,24648.5,cudaLaunchKernelExC
0.0,3591760,5094,705.1,480.0,112,95104,3791.5,cuKernelGetName
0.0,722592,1,722592.0,722592.0,722592,722592,0.0,cudaGraphDestroy
0.0,190848,66,2891.6,1560.0,944,83744,10115.1,cudaStreamIsCapturing
0.0,86112,132,652.4,560.0,240,1552,343.2,cuStreamGetGreenCtx
0.0,74768,2,37384.0,37384.0,36672,38096,1006.9,cudaMemGetInfo
0.0,60944,1,60944.0,60944.0,60944,60944,0.0,cudaStreamEndCapture
0.0,58432,3,19477.3,26432.0,4208,27792,13241.1,cuLaunchKernel
0.0,40112,5,8022.4,5200.0,3440,19568,6558.7,cudaFree
0.0,4928,3,1642.7,1744.0,944,2240,653.9,cuKernelGetFunction
0.0,4272,1,4272.0,4272.0,4272,4272,0.0,cudaStreamBeginCapture
